Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Dejounte Murray,36:30,.317,.286,.286,.286,2.6,16.4,9.3,28.4,1.3,0.0,6.0,18.2,96,114,-5.7
Trae Young,32:18,.593,.528,.333,.389,2.9,15.5,9.0,50.8,1.4,0.0,15.9,30.8,123,114,6.8
John Collins,28:47,.693,.667,.467,.133,3.3,13.9,8.4,0.0,1.6,2.9,5.9,23.3,130,112,4.4
De'Andre Hunter,27:24,.509,.500,.333,.333,0.0,10.9,5.3,4.6,0.0,3.0,6.8,21.4,100,117,-5.1
Clint Capela,22:23,.615,.750,.000,.500,16.8,22.3,19.5,10.6,0.0,7.4,0.0,8.6,155,111,4.6
Bogdan Bogdanović,25:35,.636,.636,.727,.000,0.0,7.8,3.8,0.0,1.8,6.5,8.3,18.6,113,113,4.0
Onyeka Okongwu,23:55,.883,.889,.000,.444,11.8,16.7,14.2,6.5,1.9,6.9,0.0,17.8,185,109,13.8
Saddiq Bey,22:18,.417,.417,.833,.000,4.2,9.0,6.5,10.1,2.0,0.0,14.3,12.5,94,115,-3.4
AJ Griffin,20:50,.505,.455,.636,.182,9.0,4.8,7.0,0.0,2.2,0.0,7.8,24.5,105,116,-4.0
Bruno Fernando,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Aaron Holiday,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Vit Krejci,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Garrison Mathews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
