Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Derrick White,40:23,.658,.611,.556,.222,2.7,19.8,10.4,17.4,0.0,4.9,9.2,24.4,128,116,7.9
Jayson Tatum,37:48,.428,.400,.400,.250,2.9,17.6,9.5,26.2,4.3,0.0,8.3,29.0,98,111,2.7
Al Horford,34:38,.458,.458,.833,.000,9.4,19.2,13.9,25.6,0.0,0.0,0.0,15.7,127,120,2.3
Marcus Smart,30:12,.521,.533,.467,.200,7.2,8.8,7.9,23.7,1.8,0.0,15.5,29.0,100,118,-2.3
Grant Williams,28:43,.714,.714,.571,.000,3.8,4.6,4.2,16.0,0.0,0.0,0.0,11.0,158,123,2.7
Malcolm Brogdon,27:43,.507,.500,.250,.250,3.9,14.4,8.7,20.1,0.0,0.0,5.3,30.6,108,121,1.7
Luke Kornet,15:35,.000,.000,.000,.000,14.0,8.6,11.6,8.1,0.0,6.3,0.0,2.9,123,117,-3.7
Mike Muscala,13:21,.000,.000,1.000,.000,0.0,40.0,18.0,0.0,0.0,0.0,0.0,3.4,0,117,-9.1
Blake Griffin,8:20,,,,,26.2,48.0,36.0,15.2,0.0,11.8,,0.0,234,106,7.0
Sam Hauser,3:14,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0,123,-21.6
JD Davison,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Mfiondu Kabengele,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
