Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kyrie Irving,39:31,.723,.705,.545,.227,2.9,2.7,2.8,28.9,0.0,0.0,7.6,31.1,134,145,5.6
Kevin Durant,38:47,.543,.425,.250,.450,2.9,11.0,7.1,8.0,4.0,10.3,11.1,32.6,102,126,0.6
Royce O'Neale,37:47,.786,.786,.857,.000,0.0,2.8,1.5,17.7,0.0,0.0,0.0,8.7,162,145,-1.4
Ben Simmons,35:42,.489,.429,.000,.714,6.4,17.9,12.4,32.7,1.4,2.8,17.9,14.7,120,132,-2.1
Nic Claxton,22:05,.546,.667,.000,.500,10.4,33.8,22.5,0.0,2.3,9.1,0.0,15.5,114,118,-3.0
Joe Harris,24:04,.739,.714,.714,.143,0.0,13.3,6.9,6.0,0.0,4.2,11.8,16.4,121,137,-2.5
Seth Curry,17:30,.000,.000,1.000,.000,0.0,12.2,6.3,40.1,2.9,5.7,0.0,13.4,69,130,-7.8
Yuta Watanabe,12:54,.833,.833,.667,.000,0.0,16.5,8.6,0.0,0.0,0.0,25.0,14.5,100,137,-7.1
Patty Mills,6:32,.926,.833,.667,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,182,146,11.9
Markieff Morris,5:08,.750,.750,1.000,.000,0.0,41.6,21.5,0.0,0.0,0.0,0.0,18.3,128,123,0.1
Kessler Edwards,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Day'Ron Sharpe,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Edmond Sumner,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Cam Thomas,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
