Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Zach LaVine,34:15,.581,.500,.400,.467,3.4,10.5,6.9,31.5,0.0,0.0,5.2,24.9,124,134,2.6
DeMar DeRozan,31:47,.707,.647,.059,.471,0.0,26.4,13.1,24.8,0.0,2.5,8.9,31.6,131,129,6.1
Nikola Vučević,29:22,.704,.611,.333,.778,4.0,28.6,16.1,5.0,3.2,2.7,14.2,21.4,124,121,1.5
Patrick Williams,28:05,.113,.000,.375,.250,4.2,8.5,6.3,4.2,0.0,2.8,0.0,14.1,41,133,-13.5
Ayo Dosunmu,26:47,.652,.625,.125,.125,4.4,4.5,4.4,5.6,0.0,0.0,19.2,17.4,107,136,-5.5
Alex Caruso,21:13,.761,.714,.571,.714,0.0,5.7,2.8,14.2,0.0,0.0,0.0,19.4,155,135,1.9
Coby White,18:30,.400,.400,.400,.000,0.0,6.5,3.2,14.5,0.0,0.0,16.7,14.5,78,135,-11.3
Andre Drummond,15:22,1.000,1.000,.000,.000,7.6,46.9,27.0,18.0,3.1,10.4,33.3,8.7,144,112,8.5
Goran Dragić,13:37,.396,.400,.600,.600,0.0,0.0,0.0,10.4,0.0,0.0,24.0,27.3,64,137,-17.0
Derrick Jones Jr.,7:30,.500,.500,.500,.000,0.0,16.0,7.9,0.0,6.3,10.7,0.0,11.9,97,111,3.4
Javonte Green,6:44,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,200,137,-1.9
Dalen Terry,3:32,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0,137,-19.6
Tony Bradley,3:16,.500,.500,.000,.000,0.0,36.7,18.1,0.0,14.4,0.0,0.0,27.3,94,96,9.3
