Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Terry Rozier,43:23,.411,.380,.400,.160,9.6,12.2,11.1,11.0,0.0,0.0,3.6,29.0,96,114,-5.0
Mason Plumlee,38:50,.918,1.000,.000,1.750,7.2,35.5,23.3,18.2,0.0,0.0,29.8,11.8,143,109,4.5
Kelly Oubre Jr.,38:44,.725,.725,.650,.000,0.0,19.2,10.9,9.8,2.6,2.5,13.0,26.9,121,105,10.6
P.J. Washington,34:45,.455,.500,.333,.222,0.0,15.3,8.7,0.0,0.0,0.0,28.8,18.1,61,113,-12.7
Dennis Smith Jr.,33:33,.667,.667,.333,.000,0.0,6.3,3.6,37.7,1.5,0.0,18.2,14.9,131,112,2.8
Jalen McDaniels,34:10,.735,.750,.500,.200,4.1,9.3,7.1,18.4,0.0,0.0,21.6,18.4,121,114,3.0
James Bouknight,17:10,.085,.000,.800,.400,0.0,18.5,10.5,0.0,0.0,0.0,14.5,18.2,17,113,-20.6
Nick Richards,14:10,.940,1.000,.000,.750,19.7,15.0,17.0,0.0,3.5,6.9,15.8,20.2,156,100,9.4
Théo Maledon,7:37,.000,.000,1.000,.000,0.0,27.8,15.8,16.2,0.0,0.0,50.0,11.9,31,111,-12.3
JT Thor,2:38,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,34.5,0,117,-39.1
Kai Jones,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Bryce McGowens,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Mark Williams,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
