Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Darius Garland,37:09,.617,.605,.263,.053,6.3,6.8,6.5,34.4,0.0,0.0,4.9,24.8,133,108,5.3
Evan Mobley,35:31,.567,.533,.000,.400,3.3,24.9,13.7,10.9,0.0,10.2,10.2,24.9,109,96,1.5
Isaac Okoro,26:11,.500,.500,.250,.000,4.5,14.5,9.3,4.1,1.9,3.5,20.0,8.6,95,99,-2.6
Donovan Mitchell,26:01,.509,.412,.353,.353,9.0,19.4,14.0,5.3,1.9,0.0,9.2,37.4,102,101,-4.5
Lamar Stevens,21:11,.654,.667,.167,.333,5.5,17.9,11.5,5.8,2.4,0.0,0.0,14.6,138,101,3.3
Caris LeVert,26:28,.759,.722,.333,.222,0.0,19.1,9.2,14.7,7.6,3.4,9.2,18.5,140,86,14.9
Ricky Rubio,21:13,.752,.750,.000,.750,5.5,11.9,8.6,27.4,0.0,0.0,0.0,11.3,170,107,5.8
Cedi Osman,18:07,.833,.833,.333,.000,0.0,20.9,10.1,24.8,5.6,0.0,25.0,9.9,136,93,9.1
Mamadi Diakite,12:29,.200,.200,.000,.000,9.4,40.5,24.3,17.4,0.0,7.3,28.6,25.2,55,96,-18.3
Danny Green,3:55,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,98,109,-7.9
Raul Neto,3:55,.868,1.000,.000,1.000,0.0,0.0,0.0,100.0,0.0,0.0,0.0,33.1,181,109,32.1
Dean Wade,3:55,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,109,-5.5
Dylan Windler,3:55,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,300,109,19.7
Robin Lopez,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
