Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Luka Dončić,35:39,.539,.500,.500,.625,0.0,35.6,15.1,42.1,1.4,0.0,16.4,33.1,103,103,2.8
Dorian Finney-Smith,35:36,.300,.300,.800,.000,0.0,11.9,5.1,4.0,1.4,2.6,0.0,6.8,70,103,-4.7
Spencer Dinwiddie,29:36,.367,.367,.533,.000,0.0,4.8,2.0,48.2,0.0,3.2,21.1,31.0,78,106,-8.9
Reggie Bullock,25:33,.300,.300,1.000,.000,4.1,16.6,9.4,0.0,2.0,0.0,0.0,9.5,72,104,-6.5
Dwight Powell,20:17,.709,.833,.000,.667,15.4,13.9,14.8,10.2,2.5,0.0,11.4,20.9,130,102,2.6
Josh Green,30:04,1.164,1.222,.778,.222,0.0,9.4,4.0,0.0,0.0,0.0,9.2,17.5,174,109,12.5
Tim Hardaway Jr.,20:41,.101,.000,.556,.222,5.0,13.7,8.7,13.3,2.5,0.0,9.2,25.4,40,103,-18.5
Christian Wood,17:25,.644,.667,.000,.667,6.0,48.6,24.1,18.7,0.0,0.0,0.0,10.8,151,105,2.9
Dāvis Bertāns,14:25,1.008,1.000,.714,.143,0.0,9.8,4.2,36.3,0.0,0.0,11.8,28.3,153,108,19.6
JaVale McGee,10:44,.333,.333,.000,.000,0.0,13.2,5.6,0.0,0.0,8.8,0.0,13.5,65,100,-7.6
Facundo Campazzo,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jaden Hardy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Frank Ntilikina,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Theo Pinson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
