Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jamal Murray,36:02,.796,.771,.500,.167,3.0,11.6,7.3,33.3,1.3,0.0,3.7,30.8,159,112,18.3
Nikola Jokić,34:20,.686,.625,.125,.625,9.3,45.6,27.7,34.1,1.4,3.9,32.9,18.4,122,100,5.7
Aaron Gordon,29:46,.718,.700,.100,.100,7.2,14.0,10.6,17.6,0.0,2.3,0.0,14.5,162,112,4.3
Michael Porter Jr.,29:46,.681,.656,.500,.125,0.0,7.0,3.5,4.8,4.8,2.3,0.0,23.5,138,103,8.0
Kentavious Caldwell-Pope,11:41,.410,.375,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,90,117,-13.4
Christian Braun,32:09,.455,.455,.364,.000,6.6,16.2,11.5,7.1,2.9,0.0,8.3,15.5,103,107,-5.2
Bruce Brown,23:52,.340,.250,.600,.400,4.5,8.7,6.6,22.9,5.9,0.0,14.5,23.9,88,102,-4.3
Vlatko Čančar,22:20,.425,.300,.600,.400,0.0,4.7,2.4,14.1,2.1,0.0,14.5,12.8,100,111,-6.2
Zeke Nnaji,13:40,.500,.500,.250,.000,23.4,15.3,19.3,0.0,6.9,9.9,0.0,12.1,136,90,6.2
Davon Reed,2:08,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,22.1,0.0,50.0,38.9,64,70,14.0
Ish Smith,2:08,,,,,0.0,48.9,24.7,0.0,0.0,0.0,,0.0,0,106,-15.3
Peyton Watson,2:08,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,58.3,58,117,-32.9
Jeff Green,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Bones Hyland,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
DeAndre Jordan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
