Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Killian Hayes,35:19,.407,.308,.154,.308,0.0,15.1,6.4,37.2,5.4,4.8,6.3,19.0,102,107,4.7
Rodney McGruder,30:22,.291,.250,.667,.333,3.2,8.8,5.6,3.9,1.6,0.0,0.0,9.6,78,121,-8.5
Alec Burks,30:15,.507,.433,.533,.267,0.0,17.6,7.5,9.8,1.6,0.0,10.7,26.4,97,120,-5.1
James Wiseman,26:38,.843,.864,.091,.545,14.7,15.0,14.8,0.0,0.0,0.0,0.0,21.8,173,124,10.3
Isaiah Livers,8:19,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,5.8,0.0,0.0,15.3,0,113,-16.0
Hamidou Diallo,33:03,.652,.667,.067,.400,3.0,8.1,5.1,10.6,4.3,0.0,5.4,24.0,127,115,4.1
Cory Joseph,28:10,.254,.143,.286,.286,0.0,4.7,2.0,4.2,1.7,0.0,20.2,14.9,48,121,-17.5
Marvin Bagley III,24:28,.606,.625,.125,.188,16.0,43.6,27.7,8.8,0.0,0.0,10.4,33.6,114,119,0.8
R.J. Hampton,23:26,.167,.167,.500,.000,0.0,28.4,12.0,5.1,2.0,3.6,14.3,12.7,38,114,-10.8
Jalen Duren,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jaden Ivey,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Isaiah Stewart,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
