Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Andrew Wiggins,37:25,.573,.529,.471,.412,10.7,16.0,13.5,12.1,3.7,2.5,0.0,21.9,128,117,4.7
Stephen Curry,35:55,.655,.568,.500,.409,3.7,13.4,8.8,18.7,0.0,0.0,10.4,32.8,122,127,3.0
Draymond Green,26:38,.838,.750,.500,.667,0.0,13.5,7.1,46.6,3.4,6.9,11.4,13.4,170,115,14.5
Klay Thompson,23:34,.571,.571,.714,.000,5.7,15.3,10.7,20.5,0.0,0.0,22.2,31.1,89,127,-4.3
Kevon Looney,18:45,.500,.500,.000,.000,0.0,6.4,3.4,27.8,0.0,0.0,0.0,8.7,135,129,-0.8
Jordan Poole,27:20,.518,.400,.400,.800,0.0,4.4,2.3,31.9,5.0,0.0,37.2,16.0,93,118,-1.6
JaMychal Green,23:57,.500,.500,.600,.000,5.6,20.0,13.2,10.6,1.9,0.0,28.6,11.9,87,121,-6.3
James Wiseman,16:12,.870,.800,.000,.600,8.2,29.6,19.5,9.8,0.0,0.0,13.7,18.4,153,123,0.8
Moses Moody,13:00,.300,.300,.800,.000,0.0,9.2,4.9,9.6,3.5,0.0,16.7,18.8,60,120,-9.4
Donte DiVincenzo,9:40,.500,.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,95,130,-10.9
Jonathan Kuminga,7:34,1.000,1.000,.000,.000,0.0,31.7,16.7,0.0,0.0,0.0,50.0,21.5,65,123,-10.5
Patrick Baldwin Jr.,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Ryan Rollins,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
