Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kevin Porter Jr.,37:57,.589,.607,.571,.071,3.2,23.9,13.1,37.5,2.5,2.2,32.6,23.0,109,121,-4.2
Jalen Green,37:55,.806,.806,.611,.389,0.0,10.3,4.9,12.3,2.5,2.2,12.5,25.8,143,124,5.4
Eric Gordon,29:28,.848,.833,.889,.556,0.0,4.4,2.1,17.2,1.6,0.0,8.2,16.8,169,129,6.2
Alperen Şengün,29:02,.543,.429,.071,.714,28.9,13.4,21.5,18.3,3.3,2.9,14.0,30.0,128,121,-2.2
Jabari Smith Jr.,21:53,.375,.375,1.000,.000,0.0,5.9,2.8,5.0,0.0,0.0,42.9,13.0,53,132,-18.0
Kenyon Martin Jr.,25:51,.706,.714,.571,.143,9.3,10.0,9.6,29.8,0.0,6.5,6.3,25.0,153,127,9.1
Tari Eason,19:43,.571,.571,.429,.000,12.2,26.3,19.0,0.0,4.8,0.0,12.5,16.5,115,117,-4.4
Usman Garuba,18:57,.750,.750,.500,.000,12.7,27.4,19.7,11.7,0.0,4.4,33.3,6.4,144,125,-0.7
Daishen Nix,11:06,.500,.500,.667,.000,0.0,11.7,5.6,10.4,0.0,0.0,0.0,11.0,133,131,-8.4
Garrison Mathews,8:07,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,300,133,11.5
Josh Christopher,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Boban Marjanović,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
TyTy Washington Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
