Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Buddy Hield,40:17,.694,.694,.667,.000,3.1,21.2,12.8,0.0,2.3,0.0,21.7,25.1,92,96,2.8
Tyrese Haliburton,36:08,.619,.656,.500,.250,0.0,26.6,14.2,47.7,2.6,0.0,5.3,22.8,125,94,10.5
Myles Turner,31:26,.775,.833,.222,.333,7.8,17.0,12.7,5.8,0.0,10.9,22.5,18.6,110,96,2.4
Jalen Smith,11:25,.000,.000,.667,.000,0.0,9.3,5.0,22.7,0.0,0.0,50.0,23.1,20,105,-21.7
Chris Duarte,4:48,.000,.000,.500,.000,0.0,0.0,0.0,54.1,0.0,0.0,0.0,18.3,55,107,-10.1
Bennedict Mathurin,36:42,.706,.591,.636,1.091,0.0,2.9,1.6,8.6,0.0,3.1,15.6,23.1,120,105,3.4
Andrew Nembhard,27:46,.250,.250,.500,.000,0.0,11.5,6.2,30.9,0.0,0.0,11.1,14.3,77,104,-8.7
T.J. McConnell,22:58,.333,.333,.167,.000,0.0,27.9,14.9,25.5,4.1,0.0,14.3,13.4,82,90,-1.8
Isaiah Jackson,16:33,.510,.400,.000,.400,7.4,19.3,13.8,0.0,0.0,6.9,25.4,20.9,80,98,-10.3
Oshae Brissett,11:57,.174,.000,1.000,1.000,10.3,8.9,9.6,21.7,4.0,0.0,0.0,10.6,88,95,2.3
Goga Bitadze,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
James Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Aaron Nesmith,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Terry Taylor,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
