Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kawhi Leonard,34:36,.528,.458,.167,.417,9.5,13.2,11.3,29.2,1.5,2.3,6.6,18.8,137,119,4.2
Paul George,34:08,.639,.639,.500,.000,0.0,23.4,11.4,21.7,1.5,0.0,14.3,26.3,120,118,3.5
Reggie Jackson,31:26,.667,.667,.400,.000,0.0,3.6,1.8,14.7,0.0,0.0,6.3,21.8,134,126,-0.8
Ivica Zubac,31:16,.629,.538,.000,.923,34.9,21.9,28.6,4.5,0.0,2.5,9.9,27.8,141,120,0.0
Marcus Morris,27:33,.635,.571,.857,.286,0.0,16.6,8.1,13.1,1.8,0.0,0.0,12.2,153,119,2.6
Nicolas Batum,27:07,.563,.563,1.000,.000,4.0,25.3,14.4,8.9,1.9,2.9,0.0,12.6,139,115,3.2
Norman Powell,23:36,.698,.643,.214,.286,0.0,4.8,2.4,21.2,6.4,0.0,11.3,32.2,133,112,12.4
Luke Kennard,17:30,.000,.000,.750,.000,6.2,13.1,9.6,6.1,2.9,0.0,0.0,9.8,43,118,-11.0
Terance Mann,12:10,.500,.500,.500,.000,0.0,9.4,4.6,9.6,0.0,0.0,0.0,7.0,129,124,-8.5
Amir Coffey,0:38,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,126,-7.9
Moses Brown,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Robert Covington,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
