Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
LeBron James,43:50,.451,.432,.364,.364,2.9,9.8,6.1,21.9,2.2,0.0,10.5,28.7,92,122,-4.3
Patrick Beverley,38:16,1.125,1.125,.250,.000,0.0,11.2,5.3,10.8,2.5,2.8,33.3,6.9,138,119,3.1
Anthony Davis,36:10,.809,.692,.077,1.077,7.0,39.6,22.3,0.0,2.6,5.9,13.5,27.0,142,113,7.6
Lonnie Walker IV,32:54,.682,.682,.455,.000,0.0,13.1,6.1,0.0,0.0,3.2,21.4,18.8,93,124,-2.3
Dennis Schröder,21:22,.400,.400,.400,.000,0.0,6.7,3.1,25.4,0.0,0.0,16.7,12.4,94,127,-6.6
Austin Reaves,40:50,.746,.733,.400,.267,3.1,3.5,3.3,20.1,2.3,0.0,15.2,21.3,127,122,4.9
Russell Westbrook,36:15,.381,.321,.357,.286,7.0,35.6,20.4,42.2,5.3,0.0,20.2,24.0,93,111,1.2
Troy Brown Jr.,9:22,.000,.000,.667,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,0,128,-19.4
Thomas Bryant,6:01,1.500,1.500,1.000,.000,21.0,0.0,11.2,0.0,0.0,0.0,0.0,7.3,260,128,7.8
Max Christie,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Damian Jones,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kendrick Nunn,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
