Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Xavier Tillman Sr.,25:15,1.000,1.000,.000,.000,4.0,22.8,13.6,22.6,0.0,3.7,14.3,12.0,176,97,10.4
Desmond Bane,24:32,.372,.346,.538,.077,8.2,11.7,10.0,21.1,2.0,3.8,6.9,25.6,95,96,-0.5
Dillon Brooks,24:14,.667,.667,.444,.000,4.1,7.9,6.1,5.6,2.0,0.0,0.0,16.1,139,100,5.8
Ja Morant,24:14,.569,.528,.222,.278,0.0,27.7,14.1,29.2,2.0,0.0,16.5,43.4,102,93,2.5
Jaren Jackson Jr.,20:55,.444,.357,.429,.286,0.0,13.8,7.0,0.0,2.4,4.4,20.2,20.5,73,94,-10.2
Luke Kennard,24:37,.857,.857,.714,.000,0.0,7.8,4.0,10.5,0.0,0.0,0.0,12.4,171,105,7.6
Santi Aldama,22:50,.417,.417,.833,.000,8.8,16.8,12.9,5.2,4.3,0.0,14.3,13.3,94,92,-1.7
Tyus Jones,19:31,.708,.708,.833,.000,0.0,9.8,5.0,40.7,0.0,0.0,0.0,26.7,153,104,17.4
Brandon Clarke,18:30,.667,.667,.000,.000,16.2,31.1,23.8,7.5,0.0,0.0,25.0,18.8,113,97,-0.2
John Konchar,14:07,.333,.333,.667,.000,0.0,20.4,10.4,8.2,7.0,0.0,0.0,9.2,88,85,3.6
Kennedy Chandler,4:15,.500,.500,.000,.000,23.5,0.0,11.5,33.5,11.6,0.0,0.0,20.4,139,81,22.4
Jake LaRavia,4:15,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0,108,-15.9
Kenneth Lofton Jr.,4:15,.500,.500,.500,.000,0.0,0.0,0.0,33.5,11.6,0.0,0.0,20.4,123,81,17.1
David Roddy,4:15,.000,.000,.500,.000,0.0,22.6,11.5,0.0,0.0,0.0,0.0,20.4,0,100,-24.2
Ziaire Williams,4:15,.000,.000,1.000,.000,23.5,0.0,11.5,0.0,0.0,0.0,50.0,20.4,35,107,-26.8
