Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tyler Herro,42:15,.578,.563,.688,.063,0.0,11.0,4.6,26.5,2.5,0.0,15.4,21.8,109,122,0.2
Haywood Highsmith,40:41,.900,.900,.400,.000,2.7,3.8,3.2,7.9,5.1,0.0,16.7,14.0,138,117,6.1
Bam Adebayo,36:41,.805,.800,.000,.267,9.1,38.0,21.2,35.2,0.0,0.0,15.2,25.5,145,125,9.2
Victor Oladipo,34:14,.474,.385,.615,.308,6.5,9.0,7.6,8.7,3.0,0.0,6.3,21.8,105,121,-6.1
Max Strus,29:21,.202,.167,.778,.222,3.8,15.8,8.8,27.0,0.0,0.0,0.0,15.9,85,127,-9.5
Duncan Robinson,36:15,.505,.500,1.000,.167,0.0,12.8,5.4,8.1,0.0,0.0,18.9,20.7,84,127,-11.3
Dewayne Dedmon,9:58,.521,.500,.500,1.000,11.2,46.6,26.0,0.0,5.2,0.0,25.8,18.4,88,112,-9.5
Jamal Cain,7:51,.521,.500,.000,1.000,0.0,39.4,16.5,0.0,0.0,0.0,0.0,17.4,106,125,-7.4
Nikola Jović,1:21,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0,129,-43.4
Orlando Robinson,1:21,1.000,1.000,.000,.000,82.7,0.0,48.0,100.0,0.0,0.0,0.0,35.0,214,129,69.9
Udonis Haslem,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
