Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jrue Holiday,37:19,.691,.633,.733,.467,2.9,15.8,9.7,44.4,1.3,0.0,18.1,24.5,133,111,10.6
Brook Lopez,34:25,.711,.688,.313,.125,12.7,14.2,13.5,0.0,0.0,4.4,5.6,21.5,143,111,5.8
Giannis Antetokounmpo,31:44,.575,.522,.174,.391,6.9,15.4,11.4,15.2,0.0,4.8,12.9,40.5,110,110,2.7
Jevon Carter,24:08,.000,.000,.600,.000,13.6,12.2,12.8,5.2,4.1,0.0,0.0,8.6,54,106,-7.0
Grayson Allen,19:53,.781,.625,.750,1.000,0.0,9.9,5.2,14.6,2.5,0.0,41.0,20.4,98,110,-1.5
Bobby Portis,27:46,.609,.636,.364,.273,11.8,31.8,22.3,12.5,0.0,0.0,7.5,19.9,128,108,5.3
Wesley Matthews,20:57,.500,.500,1.000,.000,5.2,9.4,7.4,0.0,0.0,0.0,0.0,5.9,125,115,-5.1
George Hill,17:26,.315,.000,1.000,1.333,0.0,5.6,3.0,14.5,0.0,0.0,0.0,11.3,98,117,-7.8
Jordan Nwora,13:11,.000,.000,.750,.000,0.0,14.9,7.8,9.6,3.7,0.0,0.0,12.6,19,106,-11.0
Serge Ibaka,9:31,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,66.7,13.1,0,119,-21.7
MarJon Beauchamp,3:40,.000,.000,.500,.000,0.0,26.7,14.1,0.0,0.0,20.8,0.0,22.6,0,95,-12.2
Thanasis Antetokounmpo,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Sandro Mamukelashvili,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
