Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Edwards,34:39,.437,.429,.571,.143,3.5,9.0,6.4,15.4,1.4,0.0,16.8,22.9,84,103,-5.0
Rudy Gobert,34:20,.604,.333,.000,4.000,14.0,42.5,29.3,8.6,0.0,3.3,32.6,15.9,104,97,-3.2
Karl-Anthony Towns,32:08,.438,.438,.563,.000,0.0,16.2,8.7,16.9,3.1,0.0,15.8,26.3,81,97,-1.8
Mike Conley,31:23,.505,.545,.818,.182,3.8,3.3,3.6,11.0,3.2,0.0,14.4,19.7,91,100,-1.1
Jaden McDaniels,9:53,.133,.000,.500,2.000,0.0,10.6,5.6,0.0,0.0,0.0,21.0,21.4,23,105,-30.3
Kyle Anderson,31:37,.551,.550,.300,.200,7.6,26.4,17.7,40.2,7.8,3.6,15.5,18.1,120,82,16.2
Naz Reid,20:46,.676,.676,.294,.000,5.8,25.1,16.1,21.2,0.0,0.0,5.6,38.5,122,103,15.0
Nickeil Alexander-Walker,16:29,1.000,1.000,1.000,.000,0.0,12.7,6.8,20.7,0.0,0.0,0.0,8.1,197,105,8.9
Jordan McLaughlin,14:49,.750,.750,.500,.000,0.0,0.0,0.0,31.6,0.0,0.0,33.3,9.0,125,108,-1.0
Taurean Prince,13:56,.753,.500,.500,1.500,0.0,7.5,4.0,22.5,0.0,0.0,0.0,10.6,178,106,1.5
Nathan Knight,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Josh Minott,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Wendell Moore Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jaylen Nowell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Austin Rivers,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
