Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Trey Murphy III,40:50,.545,.500,.583,.333,5.6,6.0,5.8,8.4,0.0,2.3,6.8,15.6,112,112,-0.8
CJ McCollum,38:37,.574,.500,.350,.300,3.0,19.1,10.7,41.3,0.0,0.0,18.1,30.9,106,113,3.7
Naji Marshall,35:49,.625,.625,.500,.000,0.0,27.5,13.2,10.3,0.0,0.0,36.8,22.9,72,112,-6.8
Herbert Jones,18:08,.667,.667,.333,.000,0.0,13.6,6.5,9.2,0.0,0.0,40.0,11.9,77,113,-9.8
Jonas Valančiūnas,16:22,.793,.750,.167,.833,14.0,15.0,14.5,13.2,0.0,0.0,26.8,29.5,116,113,3.1
Jaxson Hayes,31:38,.652,.625,.000,.125,7.2,23.3,15.0,11.5,0.0,5.8,19.2,14.2,113,107,1.4
Josh Richardson,26:36,.287,.250,.600,.100,4.3,13.9,8.9,5.9,3.6,3.5,0.0,16.9,72,102,-2.2
Dyson Daniels,24:42,.357,.357,.714,.000,0.0,29.9,14.4,32.3,1.9,0.0,22.2,15.7,80,108,0.8
Kira Lewis Jr.,7:18,.129,.000,.333,.667,0.0,0.0,0.0,19.3,0.0,0.0,0.0,22.9,45,115,-15.2
Willy Hernangómez,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Garrett Temple,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
