Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jalen Brunson,38:58,.664,.545,.227,.682,0.0,8.6,4.1,20.9,1.3,0.0,3.4,31.0,155,128,10.2
Julius Randle,38:58,.550,.519,.423,.192,2.6,14.3,8.2,8.7,0.0,0.0,3.4,30.6,129,130,0.9
RJ Barrett,33:45,.540,.467,.400,.533,3.0,16.5,9.5,12.4,0.0,0.0,5.1,23.6,130,129,-3.3
Jericho Sims,23:12,.200,.200,.000,.000,22.0,24.1,23.0,5.1,0.0,3.7,0.0,8.8,114,124,-8.2
Quentin Grimes,22:21,.129,.000,.667,.667,0.0,5.0,2.4,5.0,0.0,3.8,20.5,8.9,40,129,-11.4
Josh Hart,25:39,.709,.667,.500,.667,15.9,13.1,14.6,20.0,7.9,0.0,11.4,13.9,160,113,14.0
Isaiah Hartenstein,24:48,.600,.600,.000,.000,24.7,36.0,30.1,5.2,0.0,3.5,0.0,8.2,167,122,1.1
Immanuel Quickley,23:17,.759,.833,.667,.222,13.2,9.6,11.5,6.7,2.2,3.7,9.2,19.1,149,123,10.5
Obi Toppin,9:02,.205,.250,.750,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,52,133,-20.7
Evan Fournier,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
DaQuan Jeffries,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Trevor Keels,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Miles McBride,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Derrick Rose,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
