Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Josh Giddey,37:57,.666,.591,.364,.364,6.7,29.2,18.1,50.7,0.0,0.0,19.0,16.7,153,125,9.4
Shai Gilgeous-Alexander,36:05,.641,.625,.208,.167,0.0,10.2,5.2,25.4,2.5,0.0,13.4,33.1,124,122,0.9
Luguentz Dort,36:01,.620,.455,.455,.727,10.5,17.1,13.8,3.0,2.5,0.0,21.6,20.6,116,121,-5.4
Aaron Wiggins,33:03,.505,.458,.250,.167,11.5,3.7,7.5,0.0,1.4,3.8,7.2,16.9,115,123,-6.3
Jaylin Williams,27:05,.750,.750,.500,.000,14.0,13.6,13.8,9.0,1.7,0.0,9.1,16.3,153,123,3.7
Isaiah Joe,29:39,.605,.643,.857,.143,0.0,0.0,0.0,3.6,1.5,0.0,21.2,12.8,99,126,-5.5
Ousmane Dieng,19:08,.698,.714,.571,.286,6.6,25.7,16.3,0.0,4.8,0.0,0.0,16.5,150,114,6.8
Dario Šarić,15:03,.829,.813,.125,.125,8.4,32.7,20.7,10.3,3.0,0.0,0.0,22.5,176,117,13.3
Lindy Waters III,5:59,.717,.750,1.000,.500,0.0,41.1,20.8,0.0,0.0,21.1,0.0,32.7,145,111,18.1
Jared Butler,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Tre Mann,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jeremiah Robinson-Earl,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Olivier Sarr,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
