Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paolo Banchero,35:29,.677,.563,.250,.875,0.0,20.3,10.5,15.8,2.7,0.0,18.4,32.0,121,127,-1.6
Jalen Suggs,32:51,.564,.625,.125,.500,3.9,14.6,9.5,23.3,1.4,0.0,17.0,15.0,117,132,-5.0
Franz Wagner,32:48,.893,.875,.333,.167,7.9,11.0,9.5,32.2,0.0,0.0,13.4,19.0,165,137,8.0
Wendell Carter Jr.,27:23,.582,.542,.167,.167,14.2,17.5,15.9,10.2,0.0,0.0,13.4,22.8,119,134,-8.3
Bol Bol,20:35,.625,.400,.200,1.000,0.0,17.5,9.1,0.0,2.3,6.0,29.4,20.7,92,127,-8.4
Terrence Ross,30:53,.700,.700,.667,.000,0.0,11.7,6.1,9.5,1.5,4.0,21.1,25.8,108,131,-1.3
Mo Bamba,19:37,.888,.929,.286,.286,6.6,18.4,12.7,24.2,2.4,6.3,0.0,16.8,185,126,13.4
Chuma Okeke,16:00,.500,.500,.500,.000,8.1,0.0,3.9,14.3,0.0,7.7,0.0,5.2,154,137,-0.5
Kevon Harris,15:08,.170,.000,.000,.400,17.1,0.0,8.2,7.0,3.1,0.0,14.5,19.0,67,132,-19.8
Caleb Houstan,9:15,,,,,14.0,0.0,6.7,0.0,0.0,0.0,,0.0,223,140,-4.7
R.J. Hampton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Admiral Schofield,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
