Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
James Harden,41:23,.526,.375,.500,.563,2.7,13.5,8.1,31.8,3.7,0.0,16.7,26.9,106,115,2.7
Joel Embiid,39:49,.709,.571,.048,.857,2.8,30.8,16.8,29.4,0.0,7.2,9.4,37.2,138,114,17.3
Tobias Harris,37:33,.738,.792,.417,.167,0.0,0.0,0.0,5.2,1.4,0.0,7.2,17.2,128,123,2.2
P.J. Tucker,37:32,.444,.429,.571,.286,14.9,32.7,23.8,3.9,0.0,0.0,0.0,9.7,124,119,-0.1
De'Anthony Melton,24:36,.717,.750,1.000,.500,0.0,9.1,4.5,12.5,0.0,0.0,0.0,9.2,150,124,-0.8
Tyrese Maxey,25:06,.400,.400,.200,.000,0.0,8.9,4.4,14.0,2.0,0.0,0.0,18.5,90,119,-6.1
Jalen McDaniels,14:50,.410,.500,.250,.500,0.0,15.1,7.5,0.0,3.5,0.0,0.0,15.3,79,115,-3.8
Georges Niang,12:41,.000,.000,.667,.000,0.0,8.8,4.4,0.0,4.1,0.0,0.0,11.0,0,115,-13.1
Paul Reed,4:42,.000,.000,.000,.000,23.8,0.0,11.9,0.0,10.9,0.0,66.7,29.6,26,101,-23.9
Shake Milton,1:48,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,127,-8.6
Montrezl Harrell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Danuel House Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Furkan Korkmaz,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
