Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Torrey Craig,35:57,.786,.786,.429,.000,14.5,20.8,17.6,11.0,0.0,2.9,22.2,10.1,140,110,3.3
Josh Okogie,35:20,.672,.650,.500,.600,8.9,9.1,9.0,0.0,4.2,0.0,0.0,14.5,156,106,5.7
Chris Paul,29:56,.481,.417,.167,.222,3.5,3.6,3.5,45.4,3.3,0.0,13.2,30.8,115,110,3.0
Deandre Ayton,29:32,.698,.643,.000,.286,14.1,25.3,19.6,11.5,3.4,3.5,6.0,23.0,150,101,11.0
Devin Booker,26:14,.531,.472,.500,.222,0.0,16.3,8.0,30.3,1.9,0.0,16.8,36.7,108,109,-0.5
Ish Wainright,26:13,.666,.625,.750,.500,4.0,0.0,2.0,10.3,0.0,0.0,0.0,15.1,159,118,-0.3
Damion Lee,21:07,.291,.167,.667,.333,0.0,25.3,12.5,11.2,2.3,0.0,12.7,15.1,79,105,-8.7
Saben Lee,17:13,.167,.167,.333,.000,0.0,12.4,6.1,6.9,8.6,0.0,25.0,18.8,39,96,-10.4
Jock Landale,13:30,.600,.600,.200,.000,23.2,31.6,27.4,11.0,3.7,0.0,16.7,18.0,124,100,0.9
Bismack Biyombo,4:58,1.000,1.000,.000,.000,42.0,21.5,31.9,0.0,0.0,0.0,50.0,16.3,108,111,-6.1
Cameron Payne,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Landry Shamet,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
