Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Josh Hart,38:18,.771,.727,.000,.273,0.0,23.7,10.3,21.6,1.2,0.0,14.0,15.8,140,109,4.5
Damian Lillard,36:45,.455,.306,.444,.500,8.2,3.5,6.1,32.2,2.6,0.0,15.4,29.9,102,109,-0.3
Anfernee Simons,35:51,.481,.477,.455,.091,0.0,10.9,4.7,9.9,2.6,0.0,0.0,27.0,103,107,-0.7
Jerami Grant,35:20,.688,.591,.273,1.182,5.7,22.0,12.8,4.2,2.7,0.0,5.6,21.2,141,106,5.6
Jusuf Nurkić,25:11,.405,.333,.000,.222,7.9,25.8,15.7,5.7,3.8,0.0,28.8,23.3,71,103,-9.7
Justise Winslow,26:19,.611,.611,.222,.000,11.4,24.6,17.2,0.0,1.8,0.0,0.0,14.5,135,108,1.0
Shaedon Sharpe,16:18,.872,.917,.500,.333,0.0,15.9,6.9,10.8,0.0,0.0,0.0,17.8,170,113,10.8
Drew Eubanks,15:34,,,,,6.4,16.7,10.9,7.9,0.0,15.0,,0.0,225,102,-0.8
Nassir Little,10:24,.000,.000,1.000,1.000,0.0,24.9,10.9,11.8,4.6,0.0,0.0,11.7,21,102,-7.3
Greg Brown III,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Keon Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jabari Walker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
