Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Keegan Murray,33:33,.346,.346,.385,.000,5.2,8.9,6.6,13.3,0.0,3.4,0.0,15.8,96,127,-5.9
Terence Davis,31:57,.313,.313,.625,.000,0.0,4.7,1.7,14.1,1.5,0.0,20.0,25.5,62,126,-15.7
Harrison Barnes,29:23,.630,.611,.333,.333,5.9,5.1,5.6,11.0,3.3,0.0,8.8,15.7,127,121,2.5
Davion Mitchell,27:41,.192,.192,.462,.000,3.2,5.4,4.0,25.1,5.3,0.0,13.3,22.1,60,117,-10.1
Alex Len,16:27,.644,.667,.000,.667,26.5,9.1,20.1,18.1,0.0,6.9,34.0,14.6,112,125,-3.0
Kessler Edwards,22:35,.773,.833,.333,.667,3.9,6.6,4.9,12.6,4.4,0.0,0.0,7.0,169,119,4.7
Trey Lyles,22:10,.625,.625,.583,.000,11.8,33.8,19.9,8.7,0.0,5.2,0.0,22.0,137,120,6.7
PJ Dozier,20:19,.350,.350,.600,.000,0.0,14.8,5.4,22.9,0.0,0.0,9.1,22.0,83,127,-11.9
Chimezie Metu,16:47,.627,.625,.000,1.125,5.2,71.5,29.6,0.0,0.0,0.0,14.3,33.9,107,114,1.1
Richaun Holmes,14:46,.500,.500,.091,.000,17.7,0.0,11.2,44.8,0.0,0.0,0.0,30.3,125,130,6.4
Keon Ellis,4:22,.568,,,,0.0,0.0,0.0,0.0,22.5,0.0,0.0,8.2,122,78,19.4
Malik Monk,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Neemias Queta,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
