Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Keldon Johnson,31:54,.548,.500,.412,.412,0.0,3.3,1.7,19.1,1.5,0.0,4.7,27.8,121,136,-1.3
Tre Jones,30:11,.571,.500,.286,.571,3.5,3.5,3.5,25.6,1.6,0.0,10.2,13.6,135,136,-3.2
Sandro Mamukelashvili,29:13,.523,.500,.167,.083,25.6,14.3,19.9,20.4,1.7,3.7,7.4,19.3,132,130,1.0
Malaki Branham,28:16,.452,.452,.333,.000,0.0,25.8,13.1,12.0,1.7,0.0,8.7,34.2,91,128,-10.5
Keita Bates-Diop,27:38,.799,.786,.429,.571,3.9,22.7,13.4,5.2,1.8,3.9,31.3,19.4,106,127,-2.2
Devonte' Graham,23:16,.484,.375,1.000,1.250,0.0,4.5,2.3,15.5,0.0,0.0,0.0,11.2,129,139,-9.4
Blake Wesley,21:31,.509,.500,.333,.333,0.0,0.0,0.0,25.3,2.3,0.0,12.7,15.4,113,135,-5.3
Julian Champagnie,19:36,.500,.500,.750,.000,16.3,10.6,13.5,7.1,5.0,0.0,0.0,17.2,128,125,0.4
Gorgui Dieng,17:23,1.000,1.000,.714,.000,0.0,60.0,30.3,19.6,0.0,0.0,30.0,24.2,120,120,10.2
Dominick Barlow,11:02,.500,.500,.000,.000,19.3,0.0,9.6,0.0,0.0,19.8,0.0,7.6,141,131,-1.8
Doug McDermott,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Devin Vassell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
