Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Gary Trent Jr.,39:24,.446,.400,.450,.150,0.0,15.2,7.1,15.0,3.5,1.9,0.0,22.2,100,112,0.0
Scottie Barnes,39:19,.403,.357,.214,.143,8.0,12.2,9.9,31.5,0.0,0.0,6.3,16.5,110,121,-2.7
Pascal Siakam,39:08,.727,.690,.333,.333,2.7,15.3,8.6,18.7,3.5,0.0,11.1,28.3,129,113,10.8
Fred VanVleet,34:30,.529,.423,.692,.538,3.0,10.4,6.5,15.7,2.6,0.0,15.7,22.7,101,116,-3.9
Precious Achiuwa,30:57,.727,.727,.364,.000,3.4,11.6,7.2,20.6,0.0,0.0,8.3,15.9,137,121,3.4
Chris Boucher,22:02,.451,.333,.167,.667,4.7,27.2,15.2,0.0,0.0,6.9,0.0,14.4,103,113,-5.9
Jakob Poeltl,16:41,.591,1.000,.000,3.500,6.3,21.6,13.4,16.3,0.0,0.0,37.1,19.8,80,119,-11.4
Thaddeus Young,11:32,.667,.667,.000,.000,9.0,20.8,14.5,0.0,7.9,0.0,25.0,14.2,100,103,-0.4
Malachi Flynn,6:27,.000,.000,1.000,.000,0.0,18.6,8.7,18.2,7.0,0.0,50.0,12.7,28,105,-8.7
Dalano Banton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jeff Dowtin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Ron Harper Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Juancho Hernangómez,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Christian Koloko,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
