Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Lauri Markkanen,34:00,.716,.700,.267,.267,3.1,20.2,12.5,17.7,0.0,2.6,19.3,24.8,113,98,3.7
Kelly Olynyk,29:14,.188,.125,.250,.750,10.7,14.7,12.9,27.1,1.6,0.0,27.3,20.3,62,98,-13.3
Jordan Clarkson,28:55,.635,.607,.714,.286,10.8,8.9,9.8,29.6,3.2,3.1,0.0,22.1,143,95,14.4
Mike Conley,27:46,.509,.500,.727,.364,0.0,9.3,5.1,27.8,1.6,0.0,19.0,23.0,94,100,-5.7
Jarred Vanderbilt,19:05,.429,.429,.143,.000,10.9,26.9,19.7,16.5,0.0,0.0,12.5,17.0,96,96,-8.6
Malik Beasley,29:39,.543,.500,.583,.167,7.0,5.8,6.3,5.4,6.1,3.0,7.2,19.0,110,90,6.7
Talen Horton-Tucker,28:12,.568,.545,.636,.273,0.0,21.3,11.7,23.1,3.2,0.0,0.0,17.7,127,92,4.8
Rudy Gay,15:43,.436,.333,.500,.333,0.0,32.7,18.0,9.6,0.0,5.7,0.0,17.8,102,91,-0.6
Walker Kessler,11:03,.725,.000,.000,4.000,0.0,7.8,4.3,11.4,0.0,8.0,26.6,13.8,123,100,-2.3
Collin Sexton,10:22,.581,.667,.333,.333,0.0,0.0,0.0,0.0,4.4,0.0,22.5,17.4,75,98,-6.4
Simone Fontecchio,6:01,.000,.000,1.000,.000,0.0,14.2,7.8,0.0,0.0,0.0,0.0,13.5,0,102,-18.7
Ochai Agbaji,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nickeil Alexander-Walker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Leandro Bolmaro,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
