Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Deni Avdija,36:31,.687,.688,.313,.313,0.0,29.9,16.2,16.1,1.3,0.0,18.0,25.7,114,107,3.4
Kristaps Porziņģis,33:58,.746,.738,.238,.048,7.6,35.3,22.7,24.8,1.4,2.9,0.0,26.6,155,104,18.6
Corey Kispert,33:11,.631,.591,.545,.182,3.9,3.3,3.6,6.2,0.0,0.0,0.0,15.1,134,114,-1.2
Delon Wright,30:35,.633,.700,.400,.600,0.0,17.8,9.7,6.4,3.0,0.0,13.7,10.1,112,105,-2.1
Monte Morris,28:30,.633,.633,.400,.000,0.0,11.5,6.2,39.0,1.6,6.9,0.0,22.2,143,104,13.2
Johnny Davis,23:14,.389,.389,.556,.000,11.2,28.2,20.4,4.3,0.0,0.0,0.0,16.4,98,110,-7.1
Kendrick Nunn,17:15,.462,.462,.538,.000,0.0,6.3,3.4,13.9,0.0,0.0,0.0,31.8,98,114,-6.5
Taj Gibson,11:52,.694,.500,.000,1.000,10.9,0.0,5.0,8.1,3.9,0.0,41.0,17.4,101,106,-8.2
Anthony Gill,11:34,.667,.667,.000,.000,0.0,0.0,0.0,18.2,0.0,0.0,25.0,14.6,111,115,-1.2
Jordan Goodwin,11:15,.333,.333,.333,.000,0.0,0.0,0.0,25.7,4.1,0.0,0.0,11.3,110,105,1.9
Xavier Cooks,2:05,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,40.5,65,115,-10.8
